epoch,O1_tagging_binary_crossentropy,O1_tagging_kullback_leibler_divergence,O1_tagging_loss,O1_tagging_mse,O2_subject_binary_crossentropy,O2_subject_kullback_leibler_divergence,O2_subject_loss,O2_subject_mse,loss,lr,val_O1_tagging_binary_crossentropy,val_O1_tagging_kullback_leibler_divergence,val_O1_tagging_loss,val_O1_tagging_mse,val_O2_subject_binary_crossentropy,val_O2_subject_kullback_leibler_divergence,val_O2_subject_loss,val_O2_subject_mse,val_loss
0,0.017643222585320473,0.17609046399593353,0.05200008302927017,0.0014593101805076003,0.19259847700595856,2.680222749710083,0.12669873237609863,0.019413264468312263,0.17869868874549866,0.001,0.012830316089093685,0.1605653017759323,0.025306783616542816,0.0007920360658317804,0.07352583855390549,1.928517460823059,0.07962009310722351,0.016389261931180954,0.10492689162492752
1,0.014797117561101913,0.1364312767982483,0.03415924683213234,0.001063674339093268,0.06519899517297745,1.7750753164291382,0.04614100232720375,0.01574789173901081,0.08030027151107788,0.001,0.011965138837695122,0.13439202308654785,0.018879443407058716,0.0006681529339402914,0.05682811141014099,1.5172263383865356,0.06436783820390701,0.01340508833527565,0.08324726670980453
2,0.012296883389353752,0.1202273741364479,0.02626056782901287,0.0008150067296810448,0.05388060212135315,1.467420220375061,0.03728235512971878,0.013059119693934917,0.0635429248213768,0.001,0.010623821057379246,0.12593324482440948,0.015522301197052002,0.0005386153352446854,0.047688182443380356,1.2826958894729614,0.05569029971957207,0.010934224352240562,0.07121261209249496
3,0.013431236147880554,0.10881833732128143,0.022891150787472725,0.0008481876575388014,0.04917553812265396,1.3601511716842651,0.03437817096710205,0.012219510972499847,0.05726931616663933,0.001,0.011449689045548439,0.10060019791126251,0.014355147257447243,0.0005662458133883774,0.04503883793950081,1.2599185705184937,0.053076792508363724,0.0109775485470891,0.06743192672729492
4,0.01175373699516058,0.10359514504671097,0.021651243790984154,0.0007300261640921235,0.047395799309015274,1.3288710117340088,0.033178530633449554,0.012060988694429398,0.054829735308885574,0.001,0.010358970612287521,0.10095708072185516,0.013956154696643353,0.0005073718493804336,0.0433405376970768,1.221655249595642,0.05125289037823677,0.010755936615169048,0.0652090385556221
5,0.010911064222455025,0.1000744104385376,0.02052019163966179,0.0006579961045645177,0.04593094065785408,1.2923872470855713,0.03213277831673622,0.01175858173519373,0.0526529960334301,0.001,0.009902387857437134,0.09884397685527802,0.013604688458144665,0.0004705438041128218,0.0416438914835453,1.1790534257888794,0.04967091232538223,0.010523125529289246,0.06327559053897858
6,0.010446426458656788,0.10098375380039215,0.019602473825216293,0.0006303949048742652,0.04321533441543579,1.2169268131256104,0.029569314792752266,0.01133381761610508,0.0491718128323555,0.001,0.009342086501419544,0.1006772369146347,0.013130358420312405,0.00042505169403739274,0.04068820923566818,1.1641544103622437,0.047784652560949326,0.010431598871946335,0.0609150193631649
7,0.010429362766444683,0.10182925313711166,0.020926455035805702,0.0006523947813548148,0.04282393306493759,1.2191022634506226,0.02851572073996067,0.011449837125837803,0.04944216087460518,0.001,0.009036911651492119,0.09835939109325409,0.01319850329309702,0.00042740016942843795,0.03923237696290016,1.1081832647323608,0.045990463346242905,0.010033711791038513,0.059188954532146454
8,0.010035392828285694,0.09786596149206161,0.019908998161554337,0.0006244579562917352,0.04021807014942169,1.1314834356307983,0.02667652815580368,0.010829383507370949,0.04658551514148712,0.001,0.010487627238035202,0.08579719811677933,0.014201880432665348,0.0005281677003949881,0.038583237677812576,1.1308292150497437,0.045578483492136,0.010318782180547714,0.05978035554289818
9,0.010528283193707466,0.09236060082912445,0.019304541870951653,0.0006244287942536175,0.04005851596593857,1.1383936405181885,0.026093177497386932,0.011018877848982811,0.04539770632982254,0.001,0.009168022312223911,0.10250061750411987,0.01330039743334055,0.00041753557161428034,0.036708928644657135,1.0543843507766724,0.04274408519268036,0.009863547049462795,0.056044481694698334
11,0.007438072469085455,0.10963625460863113,0.006778120994567871,0.0004984050174243748,0.039282456040382385,1.1056513786315918,0.025992469862103462,0.010797249153256416,0.03277058154344559,2e-05,0.006526278797537088,0.11376475542783737,0.0048480709083378315,0.00034184419200755656,0.032710738480091095,0.9052211046218872,0.03834483027458191,0.00843764841556549,0.04319290444254875
