epoch,O1_tagging_binary_crossentropy,O1_tagging_kullback_leibler_divergence,O1_tagging_loss,O1_tagging_mse,O2_subject_binary_crossentropy,O2_subject_kullback_leibler_divergence,O2_subject_loss,O2_subject_mse,loss,lr,val_O1_tagging_binary_crossentropy,val_O1_tagging_kullback_leibler_divergence,val_O1_tagging_loss,val_O1_tagging_mse,val_O2_subject_binary_crossentropy,val_O2_subject_kullback_leibler_divergence,val_O2_subject_loss,val_O2_subject_mse,val_loss
0,0.007475739344954491,0.21854600310325623,0.010587982833385468,0.0005729119875468314,0.02351004257798195,0.6018052697181702,0.014837836846709251,0.005623035132884979,0.025425821542739868,1e-06,0.006225202232599258,0.17510657012462616,0.007989643141627312,0.0004263597948011011,0.014608997851610184,0.3384822607040405,0.018736278638243675,0.0033970072399824858,0.026725929230451584
1,0.007687333971261978,0.22436515986919403,0.010752136819064617,0.0005851035821251571,0.0235124584287405,0.6001139879226685,0.015115978196263313,0.005601710174232721,0.025868117809295654,1e-06,0.006196518894284964,0.1740044206380844,0.007923119701445103,0.0004251918871887028,0.015668246895074844,0.38149508833885193,0.019627129659056664,0.0037363290321081877,0.02755024842917919
2,0.0071830106899142265,0.20832863450050354,0.010421604849398136,0.0005426303832791746,0.023588117212057114,0.6008833646774292,0.015597457066178322,0.005671875551342964,0.026019057258963585,1e-06,0.006228588987141848,0.17418844997882843,0.007501675747334957,0.00042513952939771116,0.015483095310628414,0.3710672855377197,0.019721759483218193,0.00361288501881063,0.027223434299230576
3,0.007660029921680689,0.224284827709198,0.010729215107858181,0.0005864669801667333,0.023520376533269882,0.5983112454414368,0.015140648931264877,0.005591614171862602,0.025869864970445633,1e-06,0.006333073601126671,0.1769803762435913,0.007872158661484718,0.00042490093619562685,0.01486518420279026,0.34447357058525085,0.019388673827052116,0.003454849822446704,0.027260832488536835
4,0.007293722126632929,0.21185709536075592,0.010041789151728153,0.0005527547327801585,0.023321695625782013,0.5932198166847229,0.014773090369999409,0.005558457225561142,0.02481488324701786,1e-06,0.00625055655837059,0.17600461840629578,0.007969544269144535,0.0004295871767681092,0.01455872692167759,0.34103724360466003,0.01863100938498974,0.00334481755271554,0.0266005527228117
5,0.0074751125648617744,0.21802690625190735,0.01108702365309,0.0005711002158932388,0.023779556155204773,0.6044500470161438,0.01552636455744505,0.005631214007735252,0.026613380759954453,1e-06,0.006208289880305529,0.17438003420829773,0.007971079088747501,0.00042507864418439567,0.014941982924938202,0.3599346876144409,0.019091978669166565,0.003513987408950925,0.02706305682659149
6,0.007539162877947092,0.21924236416816711,0.01105633843690157,0.0005711679696105421,0.023450912907719612,0.5953386425971985,0.015988050028681755,0.005558968521654606,0.027044396847486496,1e-06,0.006260296329855919,0.1761232316493988,0.007866136729717255,0.000427414255682379,0.015152335166931152,0.3599517345428467,0.019429026171565056,0.003565719584003091,0.02729516103863716
7,0.007049033418297768,0.2050783485174179,0.010117815807461739,0.0005366072873584926,0.023093540221452713,0.5896925926208496,0.013940890319645405,0.005486574023962021,0.024058708921074867,1e-06,0.006311379373073578,0.17608776688575745,0.007810050155967474,0.0004225949523970485,0.01579985022544861,0.38274186849594116,0.020178889855742455,0.0037481815088540316,0.027988936752080917
8,0.007846398279070854,0.2298189103603363,0.011386390775442123,0.00060129608027637,0.02362373284995556,0.5998298525810242,0.015303783118724823,0.005648849532008171,0.026690170168876648,1e-06,0.006226217839866877,0.17490345239639282,0.007866579107940197,0.00042581657180562615,0.015520699322223663,0.37419432401657104,0.019822673872113228,0.003663077484816313,0.027689248323440552
9,0.007118978537619114,0.20755641162395477,0.009998880326747894,0.0005453813937492669,0.022937126457691193,0.579724133014679,0.015210040844976902,0.005465347785502672,0.02520892396569252,1e-06,0.006178941112011671,0.17353734374046326,0.007593561429530382,0.00042273852159269154,0.015131387859582901,0.3580891489982605,0.019540464505553246,0.003539902390912175,0.02713402546942234
10,0.007442440837621689,0.21781419217586517,0.010670184157788754,0.0005701736081391573,0.023961016908288002,0.6201096177101135,0.015443135984241962,0.005790271796286106,0.026113316416740417,1e-06,0.006232426036149263,0.17507310211658478,0.008173024281859398,0.00042506333556957543,0.015335289761424065,0.3660775423049927,0.01949869468808174,0.0035688793286681175,0.02767172083258629
