epoch,O1_tagging_binary_crossentropy,O1_tagging_loss,O1_tagging_mse,O2_subject_binary_crossentropy,O2_subject_loss,O2_subject_mse,loss,lr,val_O1_tagging_binary_crossentropy,val_O1_tagging_loss,val_O1_tagging_mse,val_O2_subject_binary_crossentropy,val_O2_subject_loss,val_O2_subject_mse,val_loss
0,0.03827312961220741,0.04094128683209419,0.007086286321282387,0.9651789665222168,0.26989099383354187,0.022472525015473366,0.31083235144615173,0.001,0.031112482771277428,0.032075438648462296,0.0037175386678427458,0.3221418857574463,0.31838104128837585,0.02185516245663166,0.3504565358161926
1,0.028862785547971725,0.033280108124017715,0.005110620986670256,1.0440845489501953,0.182075634598732,0.02105635218322277,0.21535569429397583,0.001,0.028048917651176453,0.028677886351943016,0.004188537131994963,0.16141365468502045,0.16762953996658325,0.018743032589554787,0.19630740582942963
2,0.023243840783834457,0.025914480909705162,0.004031569696962833,0.6812477111816406,0.12958332896232605,0.018519384786486626,0.15549775958061218,0.001,0.02085002139210701,0.022033918648958206,0.0031412807293236256,0.1040659174323082,0.11357654631137848,0.01488976925611496,0.1356104612350464
3,0.019104991108179092,0.020759444683790207,0.003473952179774642,0.301350474357605,0.07944441586732864,0.015638507902622223,0.10020386427640915,0.001,0.017827823758125305,0.017447592690587044,0.002752850065007806,0.0783650279045105,0.08856232464313507,0.011509234085679054,0.10600993037223816
4,0.018680110573768616,0.020670348778367043,0.003391281934455037,0.13795684278011322,0.04993448033928871,0.012834498658776283,0.0706048458814621,0.001,0.017289137467741966,0.01648624986410141,0.0025638011284172535,0.0569131076335907,0.06652223318815231,0.00943259708583355,0.08300848305225372
5,0.016910677775740623,0.018466955050826073,0.0030670680571347475,0.08370434492826462,0.03547627106308937,0.010324187576770782,0.0539432056248188,0.001,0.016928639262914658,0.01728806458413601,0.002572176279500127,0.04731138050556183,0.058063577860593796,0.008301248773932457,0.07535164803266525
6,0.01751333847641945,0.01912856101989746,0.0031783899758011103,0.05878119915723801,0.02828834392130375,0.008316866122186184,0.04741690307855606,0.001,0.20180130004882812,0.1959199458360672,0.03880218043923378,0.07903600484132767,0.09740132838487625,0.014042401686310768,0.2933213412761688
7,0.01799955777823925,0.0191377904266119,0.003232208313420415,0.04674437642097473,0.024282783269882202,0.007360640913248062,0.04342057555913925,0.001,0.019277820363640785,0.017635421827435493,0.002391800982877612,0.02648201584815979,0.03209920972585678,0.005115125793963671,0.04973462596535683
8,0.016102077439427376,0.017724379897117615,0.0027647430542856455,0.038747306913137436,0.02034514583647251,0.0065235900692641735,0.03806952014565468,0.001,0.018988097086548805,0.018631765618920326,0.0028449890669435263,0.035007819533348083,0.04402006417512894,0.008320731110870838,0.06265183538198471
9,0.016258276998996735,0.0171278715133667,0.002836778061464429,0.03333216533064842,0.017493009567260742,0.005870784167200327,0.03462087735533714,0.001,0.015366354025900364,0.015003294683992863,0.002239077817648649,0.026426594704389572,0.0324377566576004,0.005284574348479509,0.04744105041027069
10,0.014994646422564983,0.015656517818570137,0.002659652614966035,0.03059534914791584,0.016273925080895424,0.00561911053955555,0.03193045035004616,0.001,0.014580854214727879,0.01379204262048006,0.0019981879740953445,0.018278619274497032,0.02002386562526226,0.0035573828499764204,0.033815912902355194
11,0.014702696353197098,0.015240712091326714,0.0026620172429829836,0.02866576984524727,0.014797311276197433,0.005532355979084969,0.030038027092814445,0.001,0.017435142770409584,0.01747661642730236,0.0030660154297947884,0.02810945175588131,0.03061729483306408,0.004983608610928059,0.04809391126036644
12,0.013640623539686203,0.01464056596159935,0.0023052413016557693,0.02582508884370327,0.013381155207753181,0.005048101302236319,0.02802172489464283,0.001,0.013903315179049969,0.013866744004189968,0.0019170739687979221,0.025309620425105095,0.024494629353284836,0.0046611144207417965,0.03836137056350708
13,0.013290481641888618,0.014236832968890667,0.0021304877009242773,0.02498028613626957,0.012793908827006817,0.005209210328757763,0.027030736207962036,0.001,0.01247098296880722,0.01146717555820942,0.0016783784376457334,0.013807982206344604,0.018291736021637917,0.0032063580583781004,0.02975890226662159
14,0.01251316349953413,0.012731146067380905,0.0020907868165522814,0.02297278307378292,0.011244586668908596,0.004770120605826378,0.023975733667612076,0.001,0.012105985544621944,0.011741225607693195,0.0016323263989761472,0.01522042416036129,0.015784140676259995,0.003411027602851391,0.027525370940566063
15,0.01318343821913004,0.013255616649985313,0.0020787157118320465,0.023377541452646255,0.012072007171809673,0.004947473295032978,0.025327619165182114,0.001,0.02002311497926712,0.018998853862285614,0.003194857155904174,0.06137828901410103,0.0594475157558918,0.015930937603116035,0.07844636589288712
16,0.013605620712041855,0.014522972516715527,0.0021794107742607594,0.0242198184132576,0.013127877376973629,0.005356307607144117,0.027650846168398857,0.001,0.013624051585793495,0.013244247063994408,0.0019363508326932788,0.017743147909641266,0.01755397580564022,0.00431095203384757,0.03079822286963463
17,0.01231059804558754,0.01269438210874796,0.0019438639283180237,0.021361157298088074,0.011015483178198338,0.004721246659755707,0.023709861561655998,0.001,0.011755098588764668,0.011725935153663158,0.0015486706979572773,0.012635141611099243,0.014432587660849094,0.0030367434956133366,0.02615852653980255
18,0.011894356459379196,0.011729462072253227,0.001893900684081018,0.019942790269851685,0.009830794297158718,0.00446811318397522,0.02156025730073452,0.001,0.012221946381032467,0.011559749022126198,0.0015872695948928595,0.01174809318035841,0.0141774732619524,0.003014608519151807,0.025737224146723747
19,0.01213133241981268,0.012258931063115597,0.0018977423897013068,0.018729418516159058,0.009433544240891933,0.004190353211015463,0.02169247344136238,0.001,0.016012080013751984,0.01554668415337801,0.0021339396480470896,0.022255050018429756,0.025961458683013916,0.00531806843355298,0.04150814563035965
20,0.012945478782057762,0.013064878061413765,0.0020411701407283545,0.020037639886140823,0.010833517648279667,0.004625843837857246,0.023898392915725708,0.001,0.012804610654711723,0.012322434224188328,0.001576772890985012,0.014376192353665829,0.016123348847031593,0.003526624757796526,0.028445778414607048
